Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/07/2019,Venta,NAC,27995,Cliente 6,Producto 222,500.0,122.55,3125.0, USD ,61272.8,MXP,61.86,19.61,3125.0,1102.25,30932.2,Enero
1.0,01/07/2019,Venta,NAC,27979,Cliente 133,Producto 219,6000.0,70.0,21420.0, USD ,419988.59,MXP,52.04,19.61,21420.01,13227.0,312234.0,Enero
1.0,01/07/2019,Venta,NAC,27976,Cliente 52,Producto 111,200.0,51.46,10292.0, MXP ,10292.0,MXP,59.18,19.61,524.91,440.9,11836.4,Enero
1.0,01/07/2019,Venta,NAC,27976,Cliente 52,Producto 222,50.0,83.0,4150.0, MXP ,4150.0,MXP,61.86,19.61,211.66,110.225,3093.22,Enero
1.0,01/07/2019,Venta,NAC,27975,Cliente 124,Producto 95,25.0,243.33,310.25, USD ,6083.17,MXP,222.65,19.61,310.25,55.1125,5566.36,Enero
1.0,01/08/2019,Venta,NAC,27998,Cliente 6,Producto 110,125.0,126.69,812.5, USD ,15835.79,MXP,121.44,19.49,812.5,275.5625,15180.51,Enero
1.0,01/08/2019,Venta,NAC,28005,Cliente 26,Producto 111,500.0,70.16,1800.0, USD ,35082.35,MXP,59.18,19.49,1800.0,1102.25,29591.0,Enero
1.0,01/08/2019,Venta,NAC,28007,Cliente 6,Producto 140,25.0,243.63,312.5, USD ,6090.69,MXP,167.45,19.49,312.5,55.1125,4186.34,Enero
1.0,01/08/2019,Venta,NAC,28007,Cliente 6,Producto 140,75.0,243.63,937.5, USD ,18272.06,MXP,167.45,19.49,937.5,165.3375,12559.01,Enero
1.0,01/08/2019,Venta,NAC,28007,Cliente 6,Producto 140,1900.0,243.63,23750.0, USD ,462892.25,MXP,167.45,19.49,23750.0,4188.55,318161.66,Enero
1.0,01/08/2019,Venta,NAC,28008,Cliente 85,Producto 82,500.0,118.5,3040.0, USD ,59250.2,MXP,61.28,19.49,3040.0,1102.25,30640.4,Enero
1.0,01/08/2019,Venta,NAC,28008,Cliente 85,Producto 234,1500.0,108.95,8385.0, USD ,163425.3,MXP,68.96,19.49,8385.0,3306.75,103444.35,Enero
1.0,01/08/2019,Venta,NAC,28011,Cliente 90,Producto 107,125.0,136.04,872.5, USD ,17005.2,MXP,56.68,19.49,872.5,275.5625,7084.39,Enero
1.0,01/08/2019,Venta,NAC,28006,Cliente 6,Producto 189,175.0,182.62,1639.75, USD ,31959.06,MXP,141.34,19.49,1639.75,385.7875,24734.22,Enero
